module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
lens-work,anytime,Onboard,OB,,workflows/utility/onboard/workflow.md,lens-work.onboard.prompt.md,false,lens,,"Bootstrap control repo — detect provider validate auth create profile and auto-clone TargetProjects",_bmad-output/lens-work/personal,profile.yaml,
lens-work,anytime,New Domain,ND,,workflows/router/init-initiative/workflow.md,lens-work.new-initiative.prompt.md,false,lens,,"Create a domain-level initiative (collects domain name → track)",_bmad-output/lens-work/initiatives,,
lens-work,anytime,New Service,NS,,workflows/router/init-initiative/workflow.md,lens-work.new-initiative.prompt.md,false,lens,,"Create a service-level initiative within a domain (collects service name → track)",_bmad-output/lens-work/initiatives,,
lens-work,anytime,New Feature,NF,,workflows/router/init-initiative/workflow.md,lens-work.new-initiative.prompt.md,false,lens,,"Create a feature-level initiative within a service (collects feature name → track)",_bmad-output/lens-work/initiatives,,
lens-work,anytime,Switch,SW,,workflows/utility/switch/workflow.md,lens-work.switch.prompt.md,false,lens,,"Switch to a different initiative via git checkout",,,
lens-work,anytime,Status,ST,,workflows/utility/status/workflow.md,lens-work.status.prompt.md,false,lens,,"Show current initiative state derived from git",,,
lens-work,anytime,Next,NX,,workflows/utility/next/workflow.md,lens-work.next.prompt.md,false,lens,,"Recommend next action based on lifecycle state",,,
lens-work,anytime,Help,HLP,,workflows/utility/help/workflow.md,lens-work.help.prompt.md,false,lens,,"Show available commands and usage",,,
lens-work,anytime,Promote,PR,,workflows/core/audience-promotion/workflow.md,lens-work.promote.prompt.md,false,lens,,"Promote current audience to next level with gate checks",,,
lens-work,anytime,Sense,SN,,workflows/governance/cross-initiative/workflow.md,lens-work.constitution.prompt.md,false,lens,,"Run cross-initiative overlap detection on demand",,,
lens-work,anytime,Constitution,CN,,workflows/governance/resolve-constitution/workflow.md,lens-work.constitution.prompt.md,false,lens,,"Resolve and display constitutional governance",,,
lens-work,anytime,Module Management,MM,,workflows/utility/module-management/workflow.md,,false,lens,,"Check module version and guide self-service updates",,,
lens-work,phase-1,PrePlan,PP,1,workflows/router/preplan/,lens-work.preplan.prompt.md,false,lens,,"Start PrePlan phase — brainstorm research product brief",_bmad-output/lens-work/initiatives,product-brief research brainstorm,
lens-work,phase-2,BusinessPlan,BP,2,workflows/router/businessplan/,lens-work.businessplan.prompt.md,false,lens,,"Start BusinessPlan phase — PRD creation UX design",_bmad-output/lens-work/initiatives,prd ux-design,
lens-work,phase-3,TechPlan,TP,3,workflows/router/techplan/,lens-work.techplan.prompt.md,false,lens,,"Start TechPlan phase — architecture document technical decisions",_bmad-output/lens-work/initiatives,architecture,
lens-work,phase-4,DevProposal,DP,4,workflows/router/devproposal/,lens-work.devproposal.prompt.md,false,lens,,"Start DevProposal phase — epics stories readiness check",_bmad-output/lens-work/initiatives,epics stories,
lens-work,phase-5,SprintPlan,SP,5,workflows/router/sprintplan/,lens-work.sprintplan.prompt.md,false,lens,,"Start SprintPlan phase — sprint-status story files",_bmad-output/lens-work/initiatives,sprint-status story-files,
lens-work,delegation,Dev,DV,,workflows/router/dev/workflow.md,,false,lens,,"Delegate to implementation agents in target projects",_bmad-output/lens-work/initiatives,,
lens-work,anytime,Discover,DS,,workflows/router/discover/workflow.md,lens-work.discover.prompt.md,false,lens,,"Discover repos under TargetProjects — inspect for BMAD config update governance inventory create switch branches",_bmad-output/lens-work/initiatives,discovery-report,
